,distance,number_of_the_match,official_code,official_job_name,matched_Title,matched_Description
1176,224.3399,1,27-1021.00,Commercial and Industrial Designers,Praktikant/Werkstudent Technology Strategy & Transformation (m/w/d) in Stuttgart,
1177,130.47122,1,19-4099.01,Quality Control Analysts,Output Management Dopix (f/m/x),
1178,162.48788,1,13-1199.00,"Business Operations Specialists, All Other",Praktikant / Werkstudent Strategisches Business Consulting im (digitalen) Energieökosystem (all genders),
1179,146.4311,1,19-4099.01,Quality Control Analysts,Associate Consultant in verschiedenen Bereichen (w/m/x),
1180,68.35011,1,27-2012.04,Talent Directors,Talent Acquisition Coordinator,
1181,98.97527,1,11-3012.00,Administrative Services Managers,Head of Product,
1182,114.638725,1,47-2082.00,Tapers,Frigoriste,
1183,160.22586,1,43-4061.00,"Eligibility Interviewers, Government Programs",Entry Level - Associate Developer (Federal),
1184,200.52432,1,15-1299.06,Digital Forensics Analysts,Research positions in Digital Transformation for Ukrainian refugees,
1185,146.91327,1,47-2082.00,Tapers,Coordonnateur de projet,
1186,103.6643,1,15-2051.01,Business Intelligence Analysts,Senior Manager - Network Business Analytics,
1187,129.95474,1,15-2031.00,Operations Research Analysts,Senior Data Analyst,
1188,118.736984,1,17-2061.00,Computer Hardware Engineers,Quantum Software Engineer,
1189,143.97305,1,11-9199.01,Regulatory Affairs Managers,Adjoint administratif,
1190,183.72006,1,25-1021.00,"Computer Science Teachers, Postsecondary",Junior Software Engineer - Simulation,
1191,209.19989,1,25-1054.00,"Physics Teachers, Postsecondary","Student Researcher, PhD, 2023",
1192,93.47287,1,25-1054.00,"Physics Teachers, Postsecondary",Tenure-Track Faculty Positions of Physics,
1193,139.2634,1,19-2041.03,Industrial Ecologists,Modern Work Cloud Specialist for Lifesciences and Chemicals,
1194,126.96854,1,15-1299.09,Information Technology Project Managers,Technical Specialist - Cloud Endpoint,
1195,157.7619,1,17-3019.00,"Drafters, All Other",Funknetzplaner (all genders),
1196,196.99692,1,25-1011.00,"Business Teachers, Postsecondary",Manager Immobilien / ESG (m/w/d) in Frankfurt (Main),
1197,146.50345,1,27-3099.00,"Media and Communication Workers, All Other",Praktikant / Werkstudent Batteriespeicher (all genders),
1198,181.58443,1,19-4099.00,"Life, Physical, and Social Science Technicians, All Other",Projektleitung Strategie & Digital Energy (all genders),
1199,158.72047,1,25-9049.00,"Teaching Assistants, All Other",Agiler Coach / Technical Coach (all genders),
1200,130.47125,1,19-4099.01,Quality Control Analysts,Output Management Dopix (f/m/x),
1201,224.3399,1,27-1021.00,Commercial and Industrial Designers,Praktikant/Werkstudent Technology Strategy & Transformation (m/w/d) in Stuttgart,
1202,130.47125,1,19-4099.01,Quality Control Analysts,Output Management Dopix (f/m/x),
1203,162.48788,1,13-1199.00,"Business Operations Specialists, All Other",Praktikant / Werkstudent Strategisches Business Consulting im (digitalen) Energieökosystem (all genders),
1204,146.4311,1,19-4099.01,Quality Control Analysts,Associate Consultant in verschiedenen Bereichen (w/m/x),
1205,68.35011,1,27-2012.04,Talent Directors,Talent Acquisition Coordinator,
1206,98.97527,1,11-3012.00,Administrative Services Managers,Head of Product,
1207,114.638725,1,47-2082.00,Tapers,Frigoriste,
1208,160.22586,1,43-4061.00,"Eligibility Interviewers, Government Programs",Entry Level - Associate Developer (Federal),
1209,200.52432,1,15-1299.06,Digital Forensics Analysts,Research positions in Digital Transformation for Ukrainian refugees,
1210,146.91327,1,47-2082.00,Tapers,Coordonnateur de projet,
1211,103.6643,1,15-2051.01,Business Intelligence Analysts,Senior Manager - Network Business Analytics,
1212,129.95474,1,15-2031.00,Operations Research Analysts,Senior Data Analyst,
1213,118.736984,1,17-2061.00,Computer Hardware Engineers,Quantum Software Engineer,
1214,143.97305,1,11-9199.01,Regulatory Affairs Managers,Adjoint administratif,
1215,183.72006,1,25-1021.00,"Computer Science Teachers, Postsecondary",Junior Software Engineer - Simulation,
1216,209.19989,1,25-1054.00,"Physics Teachers, Postsecondary","Student Researcher, PhD, 2023",
1217,93.47287,1,25-1054.00,"Physics Teachers, Postsecondary",Tenure-Track Faculty Positions of Physics,
1218,139.2634,1,19-2041.03,Industrial Ecologists,Modern Work Cloud Specialist for Lifesciences and Chemicals,
1219,139.2634,1,19-2041.03,Industrial Ecologists,Modern Work Cloud Specialist for Lifesciences and Chemicals,
1220,191.78955,1,11-9199.10,Wind Energy Development Managers,Analyst/Consultant Strategy & Cloud / Human Capital (m/w/d) in Hamburg,
1221,139.2634,1,19-2041.03,Industrial Ecologists,Modern Work Cloud Specialist for Lifesciences and Chemicals,
1222,140.87387,1,27-3099.00,"Media and Communication Workers, All Other",Ingenieur Kerntechnik (all genders),
1223,137.58481,1,15-1243.00,Database Architects,Cloud Solution Architect | Data & Analytics,
1224,178.49153,1,15-1299.00,"Computer Occupations, All Other",Berater Forschung und Entwicklung Quantencomputing (all genders),
1225,171.61867,1,25-1011.00,"Business Teachers, Postsecondary","Asscociate Technical Account Manager - TechU Graduate Program , Amazon Web Services",
1226,169.34889,1,25-1199.00,"Postsecondary Teachers, All Other",(Junior) Consultant – Komplexitätsmanagement Luftfahrt (all genders),
1227,137.58481,1,15-1243.00,Database Architects,Cloud Solution Architect | Data & Analytics,
1228,185.33905,1,27-2012.05,Media Technical Directors/Managers,Reception / Office Service Specialist Munich,
1229,169.34889,1,25-1199.00,"Postsecondary Teachers, All Other",(Junior) Consultant – Komplexitätsmanagement Luftfahrt (all genders),
1230,60.743675,1,43-9061.00,"Office Clerks, General",Office Assistant,
1231,307.84167,1,13-2099.00,"Financial Specialists, All Other",Clerk – $40K!,
